HNO3_190_Hz,HNO3_191_Hz,CalKey,IH20_145_Hz,I_127_Hz,time,N2ZeroKey,ScrubberZeroKey
9783.828259,533.9535419,0,1364899.063,2692322.731,3648072186,0,0
9454.078972,556.3154351,0,1358060.455,2685255.432,3648072187,0,0
9607.023001,618.0607714,0,1327994.156,2614746.666,3648072188,0,0
9715.308249,298.5920757,0,1315425.682,2583884.048,3648072189,0,0
9875.231981,618.1091536,0,1306822.777,2556278.801,3648072190,0,0
9999.416023,495.497603,0,1300891.399,2562225.342,3648072191,0,0
9920.945019,550.8091766,0,1272582.626,2503373.146,3648072192,0,0
9891.267121,567.8963847,0,1268669.605,2488669.014,3648072193,0,0
10220.38385,361.405476,0,1291414.356,2523794.746,3648072194,0,0
10216.59002,559.2606962,0,1291421.89,2528373.909,3648072195,0,0
10263.8036,565.9654271,0,1268178.177,2491469.383,3648072196,0,0
10013.37543,367.2746476,0,1263749.886,2465391.731,3648072197,0,0
10157.03678,632.4298214,0,1273445.415,2497930.145,3648072198,0,0
10416.01449,482.1272567,0,1294736.004,2536462.975,3648072199,0,0
10582.69814,630.1542744,0,1300382.042,2561070.442,3648072200,0,0
10326.90927,292.7998547,0,1302984.619,2553550.911,3648072201,0,0
10665.17457,389.3125337,0,1326038.361,2593803.978,3648072202,0,0
10401.41881,582.6788954,0,1297295.761,2556868.172,3648072203,0,0
10393.37814,498.7355322,0,1295407.581,2540152.74,3648072204,0,0
10277.1543,563.4934641,0,1294563.675,2535810.471,3648072205,0,0
10419.15417,425.8249886,0,1289637.661,2527197.266,3648072206,0,0
10385.98567,230.7349816,0,1269867.039,2510947.609,3648072207,0,0
10286.62622,638.0926818,0,1278965.569,2515995.216,3648072208,0,0
10333.36371,600.4624534,0,1286643.791,2518583.87,3648072209,0,0
10470.65705,391.4841451,0,1263638.783,2478659.248,3648072210,0,0
10686.4959,536.6389174,0,1296062.088,2543738.747,3648072211,0,0
10780.76139,493.4294615,0,1286455.727,2538536.263,3648072212,0,0
10628.63618,584.9944893,0,1302533.34,2552648.926,3648072213,0,0
10936.90023,523.3630538,0,1300771.713,2563244.057,3648072214,0,0
10787.67702,576.5593611,0,1290198.326,2557963.562,3648072215,0,0
10844.13454,371.9836473,0,1268165.398,2500386.429,3648072216,0,0
11138.45706,167.1920181,0,1274947.834,2513195.801,3648072217,0,0
11080.9207,532.9482257,0,1279415.894,2524416.351,3648072218,0,0
11084.719,574.9380216,0,1269925.117,2515372.467,3648072219,0,0
10718.94541,405.6962207,0,1253264.427,2483675.957,3648072220,0,0
10580.37207,519.9869629,0,1279747.581,2526195.908,3648072221,0,0
10778.40105,579.2045966,0,1274987.411,2529119.873,3648072222,0,0
11099.30873,203.401316,0,1278942.68,2533593.178,3648072223,0,0
11169.51257,520.2630069,0,1273671.246,2532985.306,3648072224,0,0
11211.54055,131.5505593,0,1270906.925,2528296.28,3648072225,0,0
11178.46966,21.57137205,0,1280189.419,2543444.824,3648072226,0,0
10964.94123,357.3091468,0,1272860.813,2529799.843,3648072227,0,0
10715.67088,421.8550399,0,1263990.784,2503440.285,3648072228,0,0
10719.61224,502.2037309,0,1272894.001,2513423.92,3648072229,0,0
11039.96485,411.9206686,0,1272278.404,2513895.416,3648072230,0,0
10726.87283,336.931413,0,1253935.051,2481593.895,3648072231,0,0
10865.04161,518.0767737,0,1268050.289,2505271.721,3648072232,0,0
10757.26226,395.7028035,0,1288287.544,2534632.492,3648072233,0,0
10803.27854,270.4311861,0,1279144.955,2531955.91,3648072234,0,0
10776.65687,604.2666268,0,1282637.787,2552859.306,3648072235,0,0
10836.86203,452.1565512,0,1291099.548,2546027.565,3648072236,0,0
10671.03818,472.7461375,0,1285651.97,2542370.605,3648072237,0,0
10825.7778,216.0103759,0,1273292.828,2526701.546,3648072238,0,0
10892.23027,435.5853889,0,1287855.721,2546246.338,3648072239,0,0
11128.18867,530.7779182,0,1287691.498,2548158.264,3648072240,0,0
10740.74581,295.0123744,0,1271890.163,2510984.993,3648072241,0,0
10615.2609,415.4056776,0,1268778.133,2522016.716,3648072242,0,0
10748.19639,422.9240585,0,1300531.006,2574836.349,3648072243,0,0
10577.76511,250.367634,0,1296512.89,2565167.618,3648072244,0,0
10681.49731,492.342934,0,1306376.934,2580782.89,3648072245,0,0
10778.75942,266.7640569,0,1293160.248,2557545.662,3648072246,0,0
10574.13146,238.0625345,0,1294724.655,2564720.154,3648072247,0,0
10709.41314,613.4737749,0,1315592.194,2593194.962,3648072248,0,0
10287.65887,306.1503638,0,1296194.839,2565604.21,3648072249,0,0
10474.35105,610.7684691,0,1281294.537,2545907.211,3648072250,0,0
10396.82329,376.6135545,0,1284200.764,2548220.444,3648072251,0,0
10514.50968,284.243864,0,1294226.551,2575895.119,3648072252,0,0
10143.59668,0,0,1284533.31,2562183.571,3648072253,0,0
10227.30917,315.52664,0,1268372.726,2532993.698,3648072254,0,0
10211.95203,241.3438167,0,1274377.918,2534380.913,3648072255,0,0
10397.08182,76.1431409,0,1292073.917,2556665.039,3648072256,0,0
10288.37413,247.0481442,0,1302854.538,2583021.545,3648072257,0,0
10396.36806,257.02368,0,1292850.971,2562066.46,3648072258,0,0
10383.60968,305.9206298,0,1299100.685,2564323.235,3648072259,0,0
10393.04361,245.1566281,0,1287734.222,2553642.845,3648072260,0,0
10218.06225,372.7896372,0,1319789.791,2617842.102,3648072261,0,0
10280.52792,570.0272974,0,1295728.397,2578396.416,3648072262,0,0
10151.74985,260.790973,0,1289044.857,2560224.533,3648072263,0,0
10003.97578,334.1106698,0,1278797.817,2548002.243,3648072264,0,0
10058.53787,304.6132158,0,1293342.495,2570410.538,3648072265,0,0
10242.31911,497.2408526,0,1302602.196,2569371.605,3648072266,0,0
10171.38734,389.9099305,0,1306648.35,2586157.799,3648072267,0,0
10208.00024,482.6641176,0,1303448.391,2576617.241,3648072268,0,0
10305.59093,552.2449035,0,1295133.495,2566484.261,3648072269,0,0
10181.79581,284.2915477,0,1299516.582,2575076.866,3648072270,0,0
9812.072664,492.8847775,0,1279136.848,2538050.461,3648072271,0,0
